hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
0, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
0, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
0, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
0, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
1, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
1, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
1, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
1, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
1, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
1, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
7, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
7, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
7, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
7, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
7, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
8, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
8, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
8, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
8, 2400.00000, 2.23951, 179.999, 2.31341, -180, 2.24134, 180, 0, 0
8, 3000.00000, 2.86465, 179.999, 2.97056, -180, 2.86592, 179.999, 0, 0
9, 0.00000, 2.56967, 179.999, 2.67425, -180, 2.56686, 179.999, 0, 0
9, 600.00000, 1.49818, 179.999, 1.56439, -180, 1.4928, 179.999, 0, 0
9, 1200.00000, 1.17841, 180, 1.23172, -180, 1.16881, 179.999, 0, 0
9, 1800.00000, 1.18617, -179.999, 1.22552, 180, 1.16693, 179.999, 0, 0
9, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
9, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
10, 0.00000, 1.41344, 179.998, 1.48195, -179.999, 1.38846, 180, 0, 0
10, 600.00000, 1.75889, 179.999, 1.86619, -179.999, 1.73289, 180, 0, 0
10, 1200.00000, 0.893014, 179.998, 0.964347, -180, 0.887643, -180, 0, 0
10, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
10, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
10, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
11, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
11, 600.00000, 0.932812, 179.999, 1.03169, -180, 0.930111, 180, 0, 0
11, 1200.00000, 1.44444, 180, 1.59839, -180, 1.43853, 180, 0, 0
11, 1800.00000, 2.3759, 180, 2.63, -180, 2.35976, 179.999, 0, 0
11, 2400.00000, 2.8576, 179.999, 3.16415, 180, 2.84146, 180, 0, 0
11, 3000.00000, 2.64156, 180, 2.9272, -180, 2.62268, 180, 0, 0
12, 0.00000, 2.5372, -179.997, 2.81025, -179.998, 2.51432, 179.998, 0, 0
12, 600.00000, 2.97193, 179.997, 3.29818, 179.999, 2.95015, -179.997, 0, 0
12, 1200.00000, 1.82273, 179.996, 2.02657, 180, 1.81035, 180, 0, 0
12, 1800.00000, 0.917977, -179.997, 1.01708, 179.999, 0.910321, 179.996, 0, 0
12, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
12, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
13, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
13, 600.00000, 1.63616, -180, 1.80968, -180, 1.60917, 180, 0, 0
13, 1200.00000, 3.25071, 180, 3.60493, -180, 3.19333, 180, 0, 0
13, 1800.00000, 3.06451, -179.998, 3.39732, -179.998, 3.00707, 180, 0, 0
13, 2400.00000, 2.29667, 179.999, 2.55056, 180, 2.25759, -179.997, 0, 0
13, 3000.00000, 2.37226, -179.997, 2.63014, 180, 2.33125, 180, 0, 0
14, 0.00000, 3.12367, -179.998, 3.46265, -179.999, 3.06909, -179.999, 0, 0
14, 600.00000, 3.1071, -179.997, 3.43815, -179.998, 3.04585, 179.997, 0, 0
14, 1200.00000, 1.95908, 179.996, 2.17378, 180, 1.92254, -179.998, 0, 0
14, 1800.00000, 1.2513, -179.997, 1.38518, -179.998, 1.22472, 179.995, 0, 0
14, 2400.00000, 1.27729, -180, 1.409, -180, 1.24692, 180, 0, 0
14, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
15, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
15, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
15, 1200.00000, 1.54365, -179.997, 1.69049, -179.999, 1.50098, 179.998, 0, 0
15, 1800.00000, 1.90353, -180, 2.08515, 180, 1.85439, -179.999, 0, 0
15, 2400.00000, 1.03686, -179.999, 1.13487, -179.999, 1.00867, 179.997, 0, 0
15, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
16, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
16, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
16, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
16, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
16, 2400.00000, 1.05026, -179.998, 1.1397, 180, 1.0197, -180, 0, 0
16, 3000.00000, 0.976617, -179.996, 1.05627, 179.999, 0.947092, 179.999, 0, 0
17, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
17, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
17, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
17, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
17, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
