hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 600.00000, 2357.34, -2.78864, 2428.87, -120.752, 2307.58, 117.224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 1200.00000, 2362.63, -2.65263, 2430.22, -120.688, 2315.97, 117.338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 1800.00000, 2368.74, -2.49455, 2429.51, -120.644, 2323.31, 117.414, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 2400.00000, 2371.2, -2.42307, 2431.31, -120.603, 2330.11, 117.53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 3000.00000, 2376.03, -2.32577, 2432.86, -120.526, 2334.99, 117.597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0.00000, 2381.04, -2.2219, 2434.76, -120.45, 2341.09, 117.689, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 600.00000, 2385.03, -2.1221, 2434.91, -120.406, 2345.26, 117.73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 1200.00000, 2387.96, -2.07511, 2436.06, -120.356, 2347.75, 117.773, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 1800.00000, 2388.39, -2.04911, 2435.85, -120.355, 2349.55, 117.795, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 2400.00000, 2390.65, -2.01594, 2435.69, -120.325, 2349.47, 117.791, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 3000.00000, 2391.18, -2.03209, 2435.21, -120.311, 2347.28, 117.764, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 2394.09, -1.99892, 2435.56, -120.26, 2346.88, 117.756, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 600.00000, 2397.21, -1.94122, 2434.97, -120.224, 2347.49, 117.74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 1200.00000, 2397.24, -1.90611, 2435.63, -120.235, 2351.88, 117.812, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 1800.00000, 2400.47, -1.83112, 2436.87, -120.189, 2356.31, 117.872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 2400.00000, 2401.77, -1.76579, 2435.3, -120.207, 2359.75, 117.892, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 3000.00000, 2403.05, -1.72664, 2436.03, -120.192, 2363.22, 117.947, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 2405.1, -1.64988, 2434.99, -120.194, 2367.28, 117.978, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 600.00000, 2406.61, -1.59934, 2435.63, -120.179, 2370.94, 118.027, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 1200.00000, 2409.73, -1.46952, 2436.36, -120.165, 2381.38, 118.156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 1800.00000, 2411.99, -1.36378, 2435.63, -120.181, 2388.73, 118.234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 2400.00000, 2412.58, -1.28889, 2434.44, -120.215, 2393.73, 118.275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 3000.00000, 2411.6, -1.27007, 2435.21, -120.236, 2396.82, 118.322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 2412.68, -1.23265, 2435.93, -120.224, 2399.74, 118.366, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 600.00000, 2414.1, -1.17275, 2434.65, -120.23, 2402.69, 118.386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 1200.00000, 2416.77, -1.11232, 2436.89, -120.176, 2407.32, 118.466, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 1800.00000, 2420.21, -1.00475, 2439.23, -120.13, 2415.86, 118.602, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 2400.00000, 2421.77, -0.8849, 2435.91, -120.184, 2422.5, 118.641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 3000.00000, 2424.71, -0.74759, 2434.73, -120.186, 2431.36, 118.732, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 2431.39, -0.531333, 2430.77, -120.179, 2440.39, 118.778, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 600.00000, 2436.94, -0.353641, 2424.97, -120.201, 2445.43, 118.753, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 1200.00000, 2437.26, -0.286701, 2417.48, -120.306, 2444.67, 118.647, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 1800.00000, 2439.29, -0.23092, 2415.69, -120.307, 2446, 118.635, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 2400.00000, 2439.94, -0.206491, 2415.98, -120.302, 2447.85, 118.658, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 3000.00000, 2438.52, -0.233572, 2414.62, -120.336, 2445.96, 118.615, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 2434.6, -0.30692, 2413.05, -120.397, 2442.05, 118.549, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 600.00000, 2434.13, -0.325139, 2413.09, -120.396, 2439.72, 118.513, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 1200.00000, 2429.69, -0.428107, 2413.77, -120.438, 2436.46, 118.506, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 1800.00000, 2428.67, -0.462477, 2414.61, -120.44, 2435.61, 118.514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 2400.00000, 2425.72, -0.513912, 2413.62, -120.492, 2433.21, 118.481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 3000.00000, 2424.46, -0.54074, 2414.16, -120.498, 2432.86, 118.484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 2419.75, -0.661854, 2415.42, -120.532, 2428.12, 118.455, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 600.00000, 2416.47, -0.719657, 2416.63, -120.539, 2424.04, 118.393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 1200.00000, 2413.33, -0.889893, 2422.05, -120.482, 2418.75, 118.399, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 1800.00000, 2413.86, -0.907867, 2423.73, -120.453, 2418.23, 118.417, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 2400.00000, 2415.39, -0.895958, 2423.8, -120.436, 2418.45, 118.425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 3000.00000, 2413.26, -0.971726, 2426.96, -120.408, 2414.22, 118.401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, 2406.61, -1.10203, 2426.86, -120.493, 2409.92, 118.388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 600.00000, 2402.41, -1.20343, 2425.5, -120.56, 2404.22, 118.323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 1200.00000, 2398.11, -1.29799, 2424.78, -120.612, 2399.35, 118.258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 1800.00000, 2392.52, -1.45124, 2425.17, -120.66, 2392.5, 118.196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 2400.00000, 2386.75, -1.57015, 2425.81, -120.703, 2387.7, 118.167, 0, 0, 0.938313, 178.431, 0.953665, 59.2965, 0.938701, -61.833, 0.0197961, -66.4276
8, 3000.00000, 2382.09, -1.66888, 2425.73, -120.75, 2382.61, 118.109, 0, 0, 1.20258, 178.332, 1.2246, 59.2501, 1.20285, -61.8905, 0.028026, -70.8266
9, 0.00000, 2376.4, -1.81724, 2424.28, -120.825, 2375.08, 118.026, 0, 0, 1.08133, 178.183, 1.10311, 59.1751, 1.08075, -61.9728, 0.0286132, -74.3925
9, 600.00000, 2370.85, -1.96549, 2422.67, -120.897, 2366.56, 117.91, 0, 0, 0.631918, 178.035, 0.645731, 59.1026, 0.63079, -62.0888, 0.0189367, -75.6663
9, 1200.00000, 2367.11, -2.0696, 2420.05, -120.95, 2357.41, 117.748, 0, 0, 0.497828, 177.931, 0.508965, 59.0496, 0.495802, -62.2512, 0.016434, -72.6498
9, 1800.00000, 2373.26, -1.90713, 2412.27, -120.966, 2353.92, 117.547, 0, 0, 0.499808, 178.092, 0.508035, 59.034, 0.495739, -62.4522, 0.0155117, -55.1717
9, 2400.00000, 2378.17, -1.76947, 2405.43, -120.974, 2349.82, 117.327, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 3000.00000, 2372.91, -1.95908, 2411.82, -120.946, 2346.05, 117.398, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 0.00000, 2361.09, -2.26439, 2417.67, -121.008, 2340.11, 117.481, 0, 0, 0.598638, 177.737, 0.612969, 58.9915, 0.593333, -62.519, 0.0241995, -69.1957
10, 600.00000, 2352.45, -2.50288, 2423.17, -121.034, 2334.98, 117.54, 0, 0, 0.747684, 177.498, 0.770144, 58.9657, 0.742143, -62.4596, 0.035151, -78.885
10, 1200.00000, 2337.02, -2.83216, 2428.64, -121.173, 2329.98, 117.653, 0, 0, 0.382116, 177.17, 0.397074, 58.8266, 0.380965, -62.3477, 0.0211627, -91.8828
10, 1800.00000, 2329.86, -2.99626, 2429.97, -121.246, 2325.83, 117.649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 2400.00000, 2323.84, -3.14314, 2430.35, -121.304, 2319.55, 117.594, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 3000.00000, 2320.34, -3.22224, 2431.27, -121.337, 2317.67, 117.599, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 0.00000, 2316.74, -3.33152, 2432.03, -121.363, 2313.43, 117.577, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
