index,my_shape1_temperature,my_shape2_temperature,my_shape3_temperature,my_shape4_temperature,my_shape5_temperature
2026-01-01 00:00:00,0.765809,0.764465,0.764411,0.794785,0.831197
2026-01-01 00:05:00,0.765206,0.766209,0.766186,0.793857,0.823596
2026-01-01 00:10:00,0.764603,0.767953,0.767961,0.792928,0.815996
2026-01-01 00:15:00,0.764,0.769697,0.769737,0.792,0.808396
2026-01-01 00:20:00,0.763201,0.770995,0.771039,0.7898,0.802745
2026-01-01 00:25:00,0.762403,0.772293,0.77234,0.7876,0.797094
2026-01-01 00:30:00,0.761604,0.773591,0.773642,0.785401,0.791443
2026-01-01 00:35:00,0.758403,0.773007,0.773066,0.7836,0.790295
2026-01-01 00:40:00,0.755201,0.772424,0.77249,0.7818,0.789148
2026-01-01 00:45:00,0.752,0.771841,0.771913,0.78,0.788
2026-01-01 00:50:00,0.750432,0.767443,0.767446,0.777714,0.787483
2026-01-01 00:55:00,0.748864,0.763046,0.762978,0.775428,0.786966
2026-01-01 01:00:00,0.747297,0.758649,0.75851,0.773142,0.78645
2026-01-01 01:05:00,0.746507,0.753287,0.75321,0.775428,0.789663
2026-01-01 01:10:00,0.745718,0.747925,0.74791,0.777714,0.792877
2026-01-01 01:15:00,0.744928,0.742563,0.742611,0.78,0.796091
2026-01-01 01:20:00,0.745034,0.742382,0.742357,0.778501,0.790727
2026-01-01 01:25:00,0.74514,0.742201,0.742104,0.777002,0.785364
2026-01-01 01:30:00,0.745246,0.74202,0.74185,0.775503,0.78
2026-01-01 01:35:00,0.744831,0.741374,0.741167,0.779621,0.776727
2026-01-01 01:40:00,0.744415,0.740727,0.740484,0.78374,0.773455
2026-01-01 01:45:00,0.744,0.740081,0.739801,0.787858,0.770182
2026-01-01 01:50:00,0.744415,0.739037,0.73886,0.785238,0.767258
2026-01-01 01:55:00,0.74483,0.737994,0.737919,0.782619,0.764334
2026-01-01 02:00:00,0.745246,0.73695,0.736977,0.78,0.761409
2026-01-01 02:05:00,0.74483,0.734344,0.734402,0.777333,0.759139
2026-01-01 02:10:00,0.744415,0.731737,0.731827,0.774667,0.756869
2026-01-01 02:15:00,0.744,0.72913,0.729252,0.772,0.7546
2026-01-01 02:20:00,0.744,0.727332,0.727415,0.768,0.75434
2026-01-01 02:25:00,0.744,0.725533,0.725578,0.764,0.75408
2026-01-01 02:30:00,0.744,0.723735,0.723742,0.76,0.75382
2026-01-01 02:35:00,0.744,0.724467,0.724446,0.755581,0.757747
2026-01-01 02:40:00,0.744,0.725199,0.72515,0.751162,0.761673
2026-01-01 02:45:00,0.744,0.725931,0.725854,0.746743,0.7656
2026-01-01 02:50:00,0.744,0.726993,0.726929,0.743887,0.770943
2026-01-01 02:55:00,0.744,0.728054,0.728004,0.741031,0.776285
2026-01-01 03:00:00,0.744,0.729115,0.729078,0.738175,0.781628
2026-01-01 03:05:00,0.744,0.72823,0.72829,0.734783,0.783752
2026-01-01 03:10:00,0.744,0.727345,0.727501,0.731392,0.785876
2026-01-01 03:15:00,0.744,0.72646,0.726713,0.728,0.788
