date,PVSimulator-0.PVPanel_0-irradiance,PVSimulator-0.PVPanel_0-P_dc,PVSimulator-0.PVPanel_0-temperature,InverterSim-0.Inverter_0-Q_ac,InverterSim-0.Inverter_0-P_ac,DSS-0.PVSystem-pv-Q_meas,DSS-0.PVSystem-pv-P_meas,DSS-0.PVSystem-pv-P1,DSS-0.PVSystem-pv-Q1,DSS-0.PVSystem-pv-Q2,DSS-0.PVSystem-pv-P3,DSS-0.PVSystem-pv-P2,DSS-0.PVSystem-pv-Q3,DSS-0.Bus-149-V3_pu,DSS-0.Bus-97-V3_pu,DSS-0.Bus-149-V2_pu,DSS-0.Bus-97-V2_pu,DSS-0.Bus-149-V1_pu,DSS-0.Bus-97-V1_pu,DSS-0.Line-l115-I3_A,DSS-0.Line-l115-I1_ang,DSS-0.Line-l115-Q1_var,DSS-0.Line-l115-P3_w,DSS-0.Line-l115-P2_w,DSS-0.Line-l115-I1_A,DSS-0.Line-l115-P1_w,DSS-0.Line-l115-Q3_var,DSS-0.Line-l115-I2_A,DSS-0.Line-l115-Q2_var,DSS-0.Line-l115-I2_ang,DSS-0.Line-l115-I3_ang
2026-01-01,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000027661941036,1.0037838659899174,1.00000299538158,1.0114946656424917,1.0000010383243785,0.998962302210412,116.09044572758661,7.338885017463795,-48.24281753537093,251.17522000667262,196.37172651342323,157.2355484061111,374.55103566978426,-121.05335258584235,98.12863226434551,-130.32652529934782,-86.42912632105313,145.7313036887511
2026-01-01 00:05:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000027941592111,1.0044037618565946,1.0000029536351362,1.0103547363625311,1.0000011504172097,0.9995615278952545,114.97763132628516,8.037019484565567,-53.05831447043894,247.63435522490786,198.19630870697802,157.99597043365426,375.7438854960905,-122.21632694523828,98.3593570606911,-128.55579621230652,-87.03167091767321,146.26763865269166
2026-01-01 00:10:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000029353600024,1.0049035607368286,1.0000030348777842,1.0104033577615568,1.0000012096917383,0.9989471167888828,112.97612226016321,8.381306105099494,-55.6155761354299,239.15886132666165,190.39432028791825,158.8539815939744,377.4570423720174,-128.18247766878235,96.450493912053,-131.95927679970254,-85.27504178242431,148.18974519230372
2026-01-01 00:15:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000028783281953,1.0048063943062688,1.0000031660211286,1.0113773223902731,1.0000011582205788,0.9986014104637116,113.43321461302048,8.062590143257331,-53.4051331766618,241.67786220477655,186.33674300427802,158.5276731262897,376.98457831370837,-125.7636667326326,96.42802285229375,-137.5386424463246,-83.56852106881966,147.49111939274474
2026-01-01 00:20:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000029383256137,1.0049362170850897,1.0000032257233025,1.0117885035366145,1.0000012221252976,0.9989194414217918,112.27712035945069,8.624847799414116,-56.070165973650404,237.19429476117955,182.92241169126177,155.6633900531425,369.6408179475065,-128.2899079755428,95.92330432812317,-140.0629355931777,-82.55911490201231,148.4070508005038
2026-01-01 00:25:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000029475388732,1.0049486837862163,1.000003169892374,1.0116873923571872,1.0000013583405722,0.9994273511436458,111.86943188399276,9.865211205571109,-61.7623000587364,235.87271121903294,186.69602955913243,150.08374648164965,355.137635372182,-128.6715056737798,96.5902922044767,-137.70813356943952,-83.58753894286197,148.61270041120693
2026-01-01 00:30:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000030063390575,1.005390603379541,1.0000030559012967,1.0116485068816576,1.0000011556953676,0.9989295195946515,111.62418116194854,8.150207349776231,-53.24460089300066,233.81692184056593,191.8966192876176,156.36358257092877,371.75731026832545,-131.17073318399005,97.18183235012263,-132.87523882730943,-85.30031482959129,149.2920063702628
2026-01-01 00:35:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000028470221163,1.0050381080740538,1.0000028689435694,1.010726831700665,1.0000012290176281,0.9997543163022404,114.98564833009733,8.677706923667241,-56.36176789357471,246.53053787010901,198.3940230222595,155.52710305956347,369.265351384482,-124.47064490647074,97.61538406833355,-124.92844034800025,-87.80170282960722,146.78839295654547
2026-01-01 00:40:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000028852695784,1.0060551199955015,1.0000028997800323,1.0100554069892758,1.0000013092058933,0.9998300879370337,113.45429928031484,9.333013107718502,-59.74019425348913,241.58046944764652,204.630685895597,153.36771384473167,363.47891155218537,-126.06015510944462,100.12373572301311,-126.31228819692198,-88.31450567580937,147.5558743045796
2026-01-01 00:45:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000028182148928,1.00624173499327,1.0000028861842787,1.0092585936053464,1.0000013851395337,0.9999026679241851,113.45553543588481,9.934281370267879,-62.95358768752177,243.05414330696402,206.6182000640391,151.92551528315917,359.42011886252345,-123.201369501307,100.70683134771922,-125.74954671565953,-88.67523801490911,146.87960299267814
